>contig_10
2	637	-	2	1.269099	I:	D:
749	1291	-	2	1.310205	I:	D:
1423	2748	+	1	1.298785	I:	D:
2827	3045	+	1	1.305707	I:	D:
3061	3588	+	1	1.322648	I:3378,3423,3495,	D:
>contig_11
1	2809	-	1	1.303773	I:133,233,1115,	D:177,711,
2923	3534	+	1	1.355669	I:3138,	D:3230,
>contig_14
51	125	+	3	1.377836	I:	D:
176	1447	-	2	1.304088	I:	D:
1461	1721	-	3	1.251310	I:	D:
1867	2658	+	1	1.304439	I:	D:
2675	3592	+	2	1.289863	I:	D:
>contig_16
1	458	+	1	1.333660	I:325,384,	D:
764	940	+	2	1.296387	I:	D:
1116	2515	-	3	1.310890	I:1213,1270,	D:
2559	4382	-	3	1.296179	I:	D:
>contig_18
12	437	+	3	1.277751	I:	D:
565	1711	+	1	1.317597	I:	D:933,1344,
1729	3037	-	1	1.293341	I:2808,	D:
3102	4016	-	3	1.289847	I:	D:
4210	4445	+	1	1.328004	I:	D:4274,
4500	5411	-	3	1.302307	I:	D:
5437	6345	-	1	1.273363	I:	D:
6421	7554	-	1	1.311792	I:	D:
7655	8311	-	2	1.295429	I:	D:
8481	9392	-	3	1.274306	I:	D:
9522	10044	+	3	1.337872	I:9961,	D:
10222	10365	+	1	1.351091	I:	D:
10403	11734	+	2	1.348473	I:	D:
11744	11824	+	2	1.227669	I:	D:
11877	12911	-	3	1.291261	I:	D:
13146	14165	+	3	1.292503	I:13249,13431,13469,	D:
14305	15687	+	1	1.319716	I:	D:
15749	17117	-	2	1.315823	I:15786,	D:
17245	18684	+	1	1.266668	I:	D:
18779	18859	+	2	1.227669	I:	D:
18912	19946	-	3	1.291021	I:	D:
20198	21722	-	2	1.288522	I:21148,	D:
21885	22014	-	3	1.490890	I:21955,	D:
22671	23543	-	3	1.302528	I:	D:
23659	23997	-	1	1.304289	I:	D:
24066	25471	+	3	1.300724	I:	D:24980,
25501	28147	+	1	1.282382	I:26837,	D:
28161	28707	-	3	1.312998	I:28172,	D:
29012	29384	+	2	1.306018	I:29378,	D:
29421	29705	-	3	1.279258	I:	D:
30020	31867	+	2	1.245885	I:	D:
31988	32437	+	2	1.271317	I:	D:
32444	33235	+	2	1.337056	I:	D:
33630	33802	-	3	1.392291	I:33693,33742,	D:
33894	35671	+	3	1.319541	I:	D:33920,
36033	36227	+	3	1.265562	I:	D:
36237	36317	+	3	1.227669	I:	D:
36370	37404	-	1	1.291261	I:	D:
37420	38962	+	1	1.293761	I:37577,	D:
38967	39575	+	3	1.261855	I:	D:
39580	40386	+	1	1.270495	I:	D:
40541	41023	+	2	1.266623	I:	D:
41033	41989	+	2	1.347304	I:	D:
42028	44167	-	1	1.296814	I:44027,	D:
44231	45553	+	2	1.303021	I:	D:
45695	45871	+	2	1.311197	I:	D:
46200	49574	+	3	1.311761	I:	D:
49623	50396	+	3	1.257078	I:	D:
50399	50671	+	2	1.329550	I:	D:
50679	51233	+	3	1.250591	I:	D:
51240	52762	+	3	1.307042	I:	D:51457,
53005	54261	-	1	1.318440	I:	D:
54304	55406	+	1	1.313074	I:	D:55331,
55449	56831	-	3	1.321344	I:	D:
56997	57746	-	3	1.328686	I:57129,	D:57072,
57768	59069	-	3	1.270188	I:	D:
59153	60589	-	2	1.334145	I:	D:
60635	61212	+	2	1.350107	I:	D:60669,
61235	61711	+	2	1.317411	I:	D:
61877	63280	-	2	1.283850	I:	D:
63480	64082	-	3	1.262240	I:	D:
64390	66189	+	1	1.266643	I:	D:
66392	66472	+	2	1.227669	I:	D:
66525	67559	-	3	1.291261	I:	D:
67752	68716	+	3	1.331910	I:68593,68642,68663,	D:68451,
68805	68919	+	3	1.265239	I:68823,	D:
68975	69768	+	2	1.317176	I:69214,69656,	D:
69817	69921	+	1	1.384783	I:	D:
69965	71055	+	2	1.307931	I:	D:69975,
71221	72228	-	1	1.303355	I:	D:
72339	72645	+	3	1.423747	I:72477,72549,	D:72512,
72704	73441	-	2	1.320978	I:	D:
74311	75447	-	1	1.305244	I:	D:
75603	76301	+	3	1.311486	I:	D:
76354	76518	+	1	1.316962	I:	D:
76540	77214	-	1	1.305918	I:	D:
77254	77721	-	1	1.274404	I:	D:
77769	80050	+	3	1.319611	I:	D:78963,
80163	81580	+	3	1.352067	I:80492,80984,81099,81250,81378,	D:
81662	82342	-	2	1.291653	I:	D:
82454	82882	-	2	1.299912	I:	D:
82958	83788	+	2	1.311653	I:	D:
83795	84079	-	2	1.263255	I:	D:
84080	84472	-	2	1.286861	I:	D:
84553	85602	+	1	1.301050	I:	D:
85623	87431	-	3	1.406041	I:85751,85769,85889,85981,	D:86071,
87945	88121	+	3	1.307723	I:	D:
88421	90648	-	2	1.309870	I:	D:90000,
90912	91778	+	3	1.333197	I:91105,	D:91014,
91882	92214	+	1	1.288813	I:	D:
92249	92620	+	2	1.311924	I:	D:
92757	93851	-	3	1.275464	I:	D:
94007	95002	+	2	1.285371	I:94055,	D:94928,
95013	95342	+	3	1.281832	I:	D:
95365	95739	+	1	1.313478	I:	D:
95958	96787	+	3	1.327922	I:96017,96163,96293,96344,96600,96673,	D:96170,
96828	97078	+	3	1.301196	I:96851,96995,	D:
97116	100020	-	3	1.288343	I:97246,	D:
100638	101582	+	3	1.306868	I:	D:
101694	101940	+	3	1.330270	I:101830,	D:
101947	104211	-	1	1.328339	I:	D:
104221	105591	-	1	1.309708	I:	D:
105624	106296	+	3	1.307292	I:105754,106195,	D:105720,
106591	107208	+	1	1.243956	I:	D:
107233	107565	+	1	1.279649	I:	D:
107597	108868	+	2	1.329131	I:	D:
108991	110373	-	1	1.321344	I:	D:
110629	110802	+	1	1.250530	I:	D:
110875	111340	+	1	1.255120	I:111108,	D:
111431	112510	-	2	1.275844	I:	D:
112723	113178	-	1	1.339388	I:	D:
113207	113332	-	2	1.280705	I:	D:
113621	115499	-	2	1.322009	I:	D:114697,115159,
115527	117380	-	3	1.267127	I:	D:
117761	125417	-	2	1.271178	I:	D:125292,125372,
125558	126637	-	2	1.268711	I:	D:
126733	129333	-	1	1.267181	I:	D:
129455	129581	-	2	1.300302	I:129505,	D:
129862	130005	+	1	1.262966	I:	D:
130207	131127	-	1	1.317195	I:	D:
131137	131355	-	1	1.299145	I:	D:
131480	131973	+	2	1.286224	I:	D:131967,
131982	133564	-	3	1.285356	I:132974,133158,	D:
133568	136112	-	2	1.282535	I:135741,135787,	D:135885,
136129	143206	-	1	1.309004	I:136653,137809,	D:136684,138392,139851,140113,141247,142404,142866,
143234	144079	-	2	1.277378	I:	D:
144086	146010	-	2	1.311288	I:	D:144799,
146017	146814	-	1	1.298094	I:	D:
146824	149134	-	1	1.309677	I:147876,148338,148822,	D:147169,147517,
149218	150222	-	1	1.325422	I:	D:
150248	150619	-	2	1.303220	I:	D:
150687	154173	-	3	1.306137	I:	D:151732,153154,
154200	154424	-	3	1.279120	I:	D:
154426	157582	-	1	1.321292	I:156252,156270,	D:157425,
